House_ID,Location,Area_sqft,Bedrooms,Bathrooms,Garage,Year_Built,Price_USD,Property_Type,Floor,Distance_to_CityCenter_km
123,Los Angeles,9187,3,2,0,1962,2926755,Bungalow,,31.91
124,Seattle,8670,5,3,1,1992,2965566,Bungalow,,22.02
125,Miami,1133,1,3,2,1998,339107,Villa,,22.07
126,Boston,7480,7,1,1,1980,2424615,Villa,,13.67
127,Los Angeles,3220,4,5,3,1993,1035202,Bungalow,,4.03
128,New York,675,5,2,2,1989,230304,Bungalow,,5.02
129,Houston,9330,1,5,1,1966,2097314,Townhouse,,42.28
130,Houston,8652,4,5,2,1990,2030176,Townhouse,,17.76
131,Houston,3857,4,2,0,2002,854020,Townhouse,,11.33
132,Miami,4892,3,5,1,1973,1736045,Villa,,5.35
133,New York,5879,6,1,1,1982,2355714,Bungalow,,26.19
134,Miami,6470,3,2,0,1974,2108111,Bungalow,,31.12
135,Seattle,9166,1,3,3,1992,3403237,Apartment,24.0,40.42
136,Miami,2458,3,4,3,1999,603243,Apartment,43.0,22.93
137,New York,7179,7,1,3,2010,2770886,Townhouse,,44.63
138,New York,7848,4,2,1,1995,2565528,Townhouse,,15.33
139,Seattle,6384,1,5,3,2012,1939562,Apartment,31.0,9.7
140,New York,9040,1,3,3,2021,3418277,Apartment,26.0,9.95
141,Boston,9328,6,4,2,1988,2937595,Apartment,44.0,39.03
142,New York,4114,6,2,3,1968,1689651,Apartment,14.0,35.91
143,Houston,4320,1,1,2,1971,801854,Villa,,27.93
144,Boston,4822,6,1,3,2004,1767079,Villa,,37.92
145,Boston,5967,6,3,2,1968,2664910,Apartment,9.0,39.03
146,Seattle,6002,3,1,1,2001,2158137,Townhouse,,27.17
147,Chicago,6879,7,2,2,2003,1498537,Bungalow,,37.93
148,Chicago,1704,6,3,0,1991,447798,Bungalow,,18.8
149,New York,6949,3,4,3,1972,3019257,Bungalow,,38.24
150,Boston,9039,3,2,2,2019,3132723,Townhouse,,35.6
151,Chicago,1703,5,1,2,1980,476235,Townhouse,,45.49
152,Chicago,7058,6,4,0,1987,2111728,Bungalow,,10.16
153,New York,1482,6,4,2,2013,602039,Villa,,39.81
154,Chicago,9423,5,3,1,1994,2439044,Townhouse,,21.27
155,Miami,7028,5,1,3,1955,1854141,Townhouse,,33.43
156,Los Angeles,7155,1,5,3,1957,2839459,Apartment,24.0,5.4
157,Seattle,6099,3,4,1,1963,1816576,Townhouse,,32.5
158,Los Angeles,6190,5,4,1,1955,2149685,Villa,,39.5
159,New York,6405,1,2,2,2015,2227688,Villa,,18.03
160,Houston,6831,4,3,0,1962,1587875,Apartment,44.0,32.14
161,Seattle,9144,5,5,3,2014,2957657,Apartment,17.0,13.43
162,New York,4573,1,1,0,1960,1731579,Villa,,9.97
163,Boston,3394,7,1,1,1971,1204720,Bungalow,,40.65
164,Houston,2734,2,2,0,2017,555085,Apartment,16.0,24.15
165,Los Angeles,8131,5,5,2,2021,2430031,Apartment,47.0,29.56
166,New York,6359,4,1,0,1984,2563536,Bungalow,,4.75
167,Boston,8855,1,4,2,1981,3977822,Bungalow,,26.9
168,Seattle,1947,6,4,3,1966,580134,Apartment,30.0,23.58
169,Seattle,601,6,2,3,1971,170292,Townhouse,,30.95
170,San Francisco,7934,5,1,1,1981,3671190,Bungalow,,8.13
171,Boston,7820,5,2,1,1961,2872088,Bungalow,,41.38
172,Miami,1035,2,2,1,2018,265239,Bungalow,,46.4
173,Chicago,8000,1,3,1,2021,1663887,Villa,,8.85
174,Houston,2200,7,1,1,2012,524934,Apartment,46.0,40.48
175,Boston,7539,1,1,1,1959,2399573,Villa,,41.91
176,San Francisco,7614,1,2,1,1984,3641468,Bungalow,,19.4
177,Chicago,7969,3,2,3,1962,1697151,Townhouse,,29.43
178,Chicago,6992,6,4,0,1984,2003556,Apartment,43.0,11.84
179,New York,4844,2,3,2,2022,2130949,Bungalow,,34.55
180,Chicago,2471,6,2,3,2011,689395,Apartment,17.0,9.24
181,Miami,1212,1,1,3,1958,344373,Villa,,40.58
182,Seattle,4155,2,3,2,1977,1262996,Apartment,14.0,24.5
183,San Francisco,6741,3,1,3,1987,3235044,Villa,,35.15
184,Chicago,6972,7,3,2,1996,1590580,Villa,,5.68
185,New York,8260,1,4,2,1997,3350400,Bungalow,,32.88
186,Miami,4148,2,5,0,1972,1104263,Apartment,18.0,19.05
187,Los Angeles,5624,2,5,1,1951,2352740,Bungalow,,37.07
188,Seattle,9150,3,2,3,2002,3297515,Villa,,42.39
189,Seattle,3343,2,5,1,1964,1251868,Villa,,22.6
190,San Francisco,8473,3,1,3,1951,4503596,Villa,,28.24
191,Seattle,1092,5,1,1,1983,417091,Townhouse,,42.56
192,Chicago,997,7,3,3,2005,281782,Villa,,40.32
193,New York,2634,2,4,1,1993,1048957,Apartment,27.0,22.67
194,Seattle,2949,3,2,3,1998,948497,Villa,,19.59
195,Seattle,5912,6,2,3,1966,1566862,Villa,,14.63
196,Los Angeles,7948,4,1,3,2004,2694085,Apartment,21.0,14.34
197,Los Angeles,4792,1,1,3,1985,1477335,Bungalow,,21.45
198,Houston,526,7,5,0,2005,89921,Villa,,8.13
199,Miami,2753,1,2,2,2023,666532,Bungalow,,7.11
200,Chicago,4142,1,3,0,1973,1196570,Villa,,21.21
201,Seattle,4155,3,4,3,2010,1327810,Apartment,44.0,18.75
202,Boston,9975,7,2,0,2014,3501408,Apartment,40.0,0.71
203,Seattle,1586,3,3,1,1951,477559,Bungalow,,3.84
204,New York,8522,1,1,3,2010,3234172,Townhouse,,35.61
205,Houston,2515,3,3,3,2008,478250,Bungalow,,29.96
206,Miami,5567,6,3,1,1956,1768289,Apartment,47.0,29.81
207,Boston,7623,2,2,2,1953,3105748,Apartment,15.0,34.37
208,Houston,7584,2,3,1,1963,1723454,Bungalow,,47.18
209,San Francisco,9599,2,2,2,2020,4153120,Apartment,33.0,24.39
210,Miami,3963,5,5,2,1954,1306637,Townhouse,,3.72
211,Seattle,4841,1,5,3,1956,1578614,Townhouse,,9.8
212,Seattle,6921,4,3,1,2016,2292190,Apartment,36.0,1.55
213,Miami,4967,1,3,1,1985,1599664,Villa,,38.62
214,Seattle,9500,2,4,1,1996,3502652,Villa,,19.54
215,Chicago,3396,1,1,2,1959,725682,Townhouse,,21.9
216,Miami,3628,5,5,2,2002,1195732,Villa,,23.66
217,Houston,4755,2,3,2,2008,962629,Bungalow,,44.97
218,Miami,9842,7,3,1,2001,2826891,Bungalow,,37.88
219,Boston,7380,5,3,3,1951,2244558,Townhouse,,21.19
220,Seattle,1834,5,3,2,2022,506351,Townhouse,,36.31
221,Chicago,9209,7,3,2,1975,2504117,Townhouse,,30.41
222,Chicago,7578,5,4,0,1961,1817331,Townhouse,,47.44
223,San Francisco,1788,2,1,2,1953,675230,Villa,,34.9
224,Houston,9437,7,4,1,2009,1542184,Apartment,16.0,38.74
225,Los Angeles,6147,5,2,3,2011,1788490,Bungalow,,11.98
226,Los Angeles,6428,5,4,3,1975,1922793,Apartment,38.0,36.38
227,Miami,5302,4,1,2,1977,1553795,Townhouse,,31.79
228,San Francisco,1197,1,1,0,1950,473895,Villa,,8.49
229,New York,974,4,2,0,1988,358845,Townhouse,,48.71
230,Miami,8196,1,2,2,1992,1997688,Bungalow,,45.7
231,San Francisco,7032,2,1,3,2002,3681506,Villa,,4.96
232,Houston,9202,4,5,3,1980,1973296,Apartment,21.0,42.64
233,Houston,9229,3,1,3,1985,1889961,Bungalow,,44.52
234,Houston,3444,2,2,2,1992,618311,Apartment,36.0,38.67
235,Houston,6132,2,5,0,2007,1047552,Villa,,35.64
236,Houston,5884,1,2,2,1996,1178018,Townhouse,,14.18
237,San Francisco,1866,1,4,1,1957,788229,Bungalow,,49.0
238,San Francisco,1561,5,1,0,1990,648294,Villa,,3.83
239,Chicago,2807,3,4,2,1978,640764,Apartment,28.0,48.68
240,Boston,807,6,3,3,2015,316551,Villa,,27.82
241,Los Angeles,9688,2,4,0,2023,3340667,Villa,,38.03
242,Seattle,9976,2,3,3,2004,3281695,Apartment,17.0,25.17
243,Houston,9821,7,1,2,1961,1907357,Apartment,30.0,6.55
244,New York,803,4,2,0,1957,359433,Apartment,19.0,40.88
245,Seattle,6986,1,5,0,2020,2307512,Bungalow,,23.02
246,San Francisco,6066,4,5,1,1997,2235511,Bungalow,,10.98
247,New York,5657,1,3,2,1999,2228664,Apartment,45.0,22.16
248,New York,4391,7,2,0,2011,1627053,Apartment,1.0,34.54
249,New York,9546,7,3,0,2015,4061532,Apartment,9.0,2.16
250,Chicago,6224,1,5,1,1952,1577039,Townhouse,,0.81
251,San Francisco,6780,4,5,2,1987,3515117,Apartment,11.0,11.95
252,New York,5850,4,1,1,1981,2151614,Bungalow,,41.25
253,Houston,9509,4,3,3,1992,1549638,Villa,,6.21
254,Miami,9664,6,3,2,2004,3077031,Bungalow,,18.31
255,New York,4633,1,5,1,1967,1885377,Townhouse,,33.35
256,Chicago,9870,7,5,3,1968,2675276,Apartment,31.0,5.54
257,Seattle,604,3,1,0,1984,209353,Bungalow,,31.21
258,San Francisco,8946,4,2,1,1989,4478772,Townhouse,,12.38
259,Boston,8071,1,2,2,1966,3191808,Apartment,27.0,3.43
260,Chicago,7101,4,2,0,1969,1593337,Bungalow,,20.55
261,New York,7171,6,4,0,2018,3114477,Villa,,34.02
262,San Francisco,9282,7,2,2,2011,3521284,Bungalow,,49.21
263,Miami,9216,3,1,0,1996,2755821,Villa,,27.76
264,New York,9061,3,3,3,1953,4148768,Townhouse,,42.14
265,Chicago,3463,5,3,3,1975,970442,Villa,,23.52
266,Los Angeles,9355,5,2,2,1966,3854506,Apartment,40.0,1.66
267,Houston,1189,3,4,1,1965,239307,Apartment,23.0,4.89
268,Boston,7243,4,3,2,2004,2271875,Townhouse,,33.96
269,Seattle,3088,5,4,1,2022,1113192,Bungalow,,2.71
270,Chicago,2035,6,2,0,2002,576870,Villa,,29.39
271,San Francisco,2528,1,4,2,1998,981490,Townhouse,,14.24
272,Boston,2356,3,5,3,1950,760980,Bungalow,,37.82
273,Boston,3686,4,5,0,1993,1578856,Villa,,26.57
274,Boston,3269,6,5,1,2020,1361225,Townhouse,,44.52
275,New York,6585,1,1,1,1953,2230499,Villa,,27.98
276,Houston,6986,3,1,0,2017,1300947,Townhouse,,22.01
277,New York,7741,3,2,0,2009,2964337,Townhouse,,6.72
278,San Francisco,3487,4,4,3,2009,1534339,Bungalow,,15.16
279,New York,8635,4,4,3,1974,3277329,Townhouse,,10.4
280,Los Angeles,6590,2,5,2,1992,2128254,Bungalow,,43.36
281,Houston,9840,4,5,3,1974,2175532,Townhouse,,26.85
282,Houston,1280,1,5,3,1976,300841,Bungalow,,10.47
283,San Francisco,4905,5,4,0,1968,1915025,Bungalow,,17.53
284,Seattle,2653,4,4,1,2008,824522,Villa,,3.01
285,Los Angeles,9247,4,5,2,2017,3468452,Villa,,28.88
286,Chicago,3796,5,4,0,2008,907692,Bungalow,,3.91
287,New York,3813,5,1,2,1965,1462476,Bungalow,,27.96
288,Miami,4992,6,2,1,1996,1567357,Apartment,36.0,32.47
289,New York,6796,3,5,1,2007,3137463,Bungalow,,31.63
290,Boston,3083,7,3,0,1980,1092245,Bungalow,,15.78
291,New York,3543,3,1,3,2015,1468014,Villa,,1.54
292,Chicago,8069,5,5,1,2011,2149286,Villa,,1.64
293,New York,6479,5,5,2,1970,2438275,Bungalow,,3.27
294,Los Angeles,1669,5,4,3,2013,470999,Apartment,29.0,11.29
295,Los Angeles,3762,1,1,2,2018,1146698,Apartment,34.0,19.28
296,Houston,7536,7,2,3,1969,1384956,Villa,,46.94
297,San Francisco,7226,7,3,0,2006,3618886,Villa,,36.42
298,Seattle,4522,6,5,0,2005,1642240,Townhouse,,35.58
299,Miami,8892,2,2,1,1972,2532180,Townhouse,,44.69
300,Boston,2390,1,3,2,1979,830665,Villa,,40.27
301,New York,8703,2,2,0,1974,4037031,Villa,,39.47
302,New York,5671,7,4,1,2010,2055100,Apartment,39.0,8.06
303,Chicago,7164,7,1,2,1971,1483221,Apartment,27.0,32.61
304,San Francisco,7807,3,5,3,1992,3764994,Villa,,17.82
305,Los Angeles,6743,7,3,3,1972,2329284,Bungalow,,46.03
306,Miami,4056,5,5,2,1997,999239,Bungalow,,0.88
307,Houston,7804,1,3,2,2003,1407395,Villa,,29.48
308,Los Angeles,5466,6,2,0,2004,2009321,Bungalow,,38.88
309,Boston,865,5,5,0,1998,280513,Villa,,27.55
310,San Francisco,8551,6,1,2,2007,4345073,Bungalow,,40.49
311,Boston,1156,7,3,0,1968,507983,Villa,,47.43
312,Seattle,8852,6,4,3,2008,3353889,Bungalow,,35.44
313,Houston,8866,5,2,3,2019,1556441,Townhouse,,38.3
314,Seattle,3970,5,4,2,1972,1424919,Apartment,47.0,22.46
315,Chicago,4560,7,2,2,1984,1093146,Villa,,35.34
316,Boston,6099,1,1,1,1968,2111357,Villa,,35.98
317,Chicago,1044,7,4,0,1985,219059,Villa,,32.69
318,New York,6926,5,2,0,2016,2523131,Bungalow,,42.99
319,Seattle,2261,3,4,0,2000,637984,Townhouse,,18.33
320,San Francisco,1456,2,2,2,1951,539989,Villa,,19.08
321,Boston,9143,6,1,0,2007,3012638,Townhouse,,49.41
322,Miami,8676,4,5,1,1994,2821922,Apartment,19.0,14.71
323,Houston,8291,3,2,0,1993,1929967,Townhouse,,7.69
324,Los Angeles,8773,2,3,2,1986,2852357,Townhouse,,21.24
325,San Francisco,1736,4,5,2,1955,855944,Townhouse,,43.54
326,San Francisco,5411,5,4,3,1976,2839398,Villa,,8.39
327,Chicago,6777,3,4,3,2015,2016637,Apartment,20.0,41.96
328,Seattle,946,6,4,2,2003,316920,Townhouse,,30.07
329,Boston,2665,6,3,3,2005,1117993,Bungalow,,4.76
330,Boston,2119,4,3,0,1977,779303,Townhouse,,20.56
331,New York,2293,4,3,2,1972,739343,Bungalow,,23.93
332,New York,9865,4,3,0,1971,3937874,Townhouse,,24.58
333,Houston,6505,5,3,2,2016,1278073,Townhouse,,40.32
334,Chicago,1145,2,3,2,2010,302944,Townhouse,,24.79
335,San Francisco,878,2,5,0,2002,444510,Bungalow,,3.57
336,Boston,3155,3,5,1,1990,1437073,Apartment,5.0,42.55
337,Miami,7609,5,4,1,1991,2724030,Townhouse,,0.91
338,Chicago,4084,2,3,2,1962,1156100,Townhouse,,1.78
339,Houston,1640,3,1,0,1976,281840,Bungalow,,38.68
340,Houston,4235,2,4,3,2010,980594,Villa,,45.88
341,Chicago,1161,7,4,0,2023,325177,Villa,,48.55
342,Houston,5936,1,2,1,1992,1388283,Apartment,20.0,22.09
343,Chicago,8703,5,4,1,2005,1770863,Villa,,21.21
344,Los Angeles,5709,1,4,0,1990,2221608,Villa,,12.32
345,Chicago,887,2,4,2,1998,247603,Villa,,7.79
346,Seattle,3523,2,2,0,1970,1032997,Apartment,26.0,45.43
347,Chicago,5235,7,1,2,2009,1082510,Villa,,37.88
348,Houston,8791,1,3,0,2015,2067999,Villa,,36.99
349,Boston,6971,5,2,3,1968,2526149,Bungalow,,41.0
350,Seattle,3271,7,3,0,2019,997222,Bungalow,,20.35
351,Houston,4669,3,5,0,1983,779783,Villa,,18.06
352,New York,7763,4,4,3,2015,3712663,Townhouse,,7.37
353,New York,6735,6,4,2,2015,2508095,Villa,,29.23
354,Boston,4519,1,4,2,1970,1500650,Apartment,29.0,30.85
355,Boston,4770,6,4,0,1989,2084086,Apartment,25.0,17.62
356,Seattle,6356,7,1,3,1999,1844363,Apartment,12.0,29.88
357,Los Angeles,534,5,3,3,2004,151958,Bungalow,,10.11
358,Boston,8118,7,2,2,2008,3639375,Bungalow,,22.03
359,New York,3880,7,2,3,2001,1513406,Bungalow,,31.21
360,Chicago,5976,5,1,1,1963,1444006,Townhouse,,45.48
361,Houston,8043,6,1,0,1984,1711007,Apartment,35.0,12.42
362,New York,3676,4,5,0,1970,1348322,Bungalow,,9.84
363,New York,8867,7,3,1,1966,3437049,Townhouse,,48.9
364,Los Angeles,2653,3,4,2,2012,1013083,Townhouse,,18.65
365,Seattle,5187,3,4,3,1954,1673956,Townhouse,,38.33
366,Seattle,2086,2,1,0,2018,692613,Bungalow,,32.02
367,San Francisco,8556,2,1,3,2004,3561969,Villa,,30.84
368,Los Angeles,5922,6,2,3,1998,1839997,Apartment,7.0,34.51
369,Chicago,4158,1,2,2,1983,997412,Apartment,2.0,12.05
370,Seattle,1452,6,1,1,2019,499088,Apartment,6.0,8.78
371,Houston,6770,7,5,2,1999,1522653,Bungalow,,20.94
372,Boston,5865,3,5,3,1992,2028462,Bungalow,,35.69
373,Los Angeles,3371,1,4,2,1974,951474,Apartment,48.0,44.35
374,Boston,3478,2,5,2,1995,1230527,Villa,,31.84
375,New York,3470,1,4,0,1969,1567455,Apartment,14.0,48.32
376,Houston,5408,4,5,3,1951,1052858,Townhouse,,3.88
377,Houston,2459,7,5,0,1987,469064,Apartment,35.0,38.4
378,New York,5682,6,1,1,2003,1862471,Townhouse,,26.64
379,Los Angeles,1305,1,5,3,1958,449222,Villa,,35.97
380,New York,3600,2,4,2,1969,1264507,Villa,,11.77
381,Boston,2075,2,3,0,1989,654656,Townhouse,,4.25
382,San Francisco,9291,4,3,0,1993,4874633,Apartment,13.0,8.52
383,Houston,3115,4,2,2,1988,535436,Villa,,43.83
384,Miami,9303,3,4,1,1971,3016239,Bungalow,,23.09
385,Miami,6126,4,1,0,2007,1874516,Townhouse,,10.98
386,Boston,9252,4,1,1,1996,3646498,Townhouse,,31.97
387,Chicago,1126,7,2,0,2004,245491,Apartment,12.0,29.15
388,Seattle,7384,3,3,1,1974,2219002,Bungalow,,38.72
389,New York,3311,4,4,0,2007,1333288,Apartment,40.0,24.3
390,New York,2110,5,5,0,1969,1009066,Townhouse,,13.82
391,Chicago,9366,5,2,3,2002,2742746,Apartment,21.0,15.59
392,Chicago,548,5,4,1,1976,152138,Apartment,41.0,38.81
393,Boston,1886,4,5,1,1974,610345,Townhouse,,20.68
394,Boston,2402,2,5,1,1996,833688,Villa,,16.33
395,Chicago,5222,2,4,0,1961,1228268,Bungalow,,10.31
396,Houston,4872,3,1,1,1967,966069,Bungalow,,33.2
397,Boston,4342,2,4,0,2000,1395272,Apartment,26.0,27.72
398,San Francisco,7569,2,4,3,1992,3173311,Villa,,32.82
399,Boston,4811,3,1,2,1980,2184740,Townhouse,,46.28
400,New York,8921,5,2,3,1967,2885322,Apartment,42.0,45.52
401,Boston,8306,3,1,2,1991,2728771,Townhouse,,47.72
402,Houston,6966,2,5,1,1960,1558713,Villa,,13.24
403,Chicago,8497,7,3,0,2016,2535833,Villa,,36.93
404,New York,6868,2,2,2,2021,2323000,Bungalow,,31.67
405,Boston,2185,3,4,3,1990,718946,Villa,,20.26
406,Houston,8639,4,4,2,2000,1977947,Bungalow,,17.19
407,San Francisco,5633,2,5,3,2003,2813768,Villa,,44.16
408,Boston,9324,2,5,2,2011,3653095,Villa,,36.54
409,Houston,2922,3,2,1,1975,687648,Villa,,20.87
410,San Francisco,3250,6,2,3,1996,1414979,Villa,,43.21
411,Chicago,9024,2,2,1,2012,2005836,Villa,,43.4
412,Boston,6809,6,5,0,1968,2966857,Townhouse,,21.89
413,San Francisco,9198,4,3,3,1981,3782634,Villa,,40.41
414,New York,4712,4,1,2,2019,2227839,Apartment,30.0,46.15
415,Chicago,1442,3,5,1,1977,413778,Villa,,13.87
416,New York,9327,1,3,1,2018,3089204,Townhouse,,36.25
417,Miami,1962,5,5,0,2000,616802,Townhouse,,12.12
